municipality,year,33,11,6,3,24,15,12,25,4,30,41,29,20,39,31,target,target_increase,prev_count
Careiro da Várzea,2009,721532,529792,850718,614590,648,187401,39074,,,,,,,,,1,0,91.0
Santo Antônio do Içá,2009,587707,27440,4156380,9072722,10570,6505,1727,,,,,,,,,1,1,12.0
Boca do Acre,2009,159045,41094,690611,21824567,4635,1592601,5313,472.0,1171.0,,1298.0,,,,,1,0,276.0
Tonantins,2009,379531,43470,2132787,4646258,2095,10148,5662,,,,,,,,,1,1,2.0
Tefé,2009,731036,97070,1964925,23717432,8229,61704,1892,5.0,377.0,,,,,,,1,0,96.0
Uarini,2009,560090,71975,3346555,7507215,1976,12047,11702,1.0,,,,,,,,1,0,54.0
Guajará,2009,50655,6404,1188532,6929396,3888,369528,494,16.0,4.0,,,,,,,1,0,41.0
Autazes,2009,1243933,421873,1481013,4795851,7567,565659,62697,6.0,142.0,,,,,,,1,0,329.0
Japurá,2009,1525370,118344,7738913,52990605,904,9909,5989,,,153.0,,,,,,1,0,15.0
Parintins,2009,2450640,600913,927472,2143354,17072,522261,7817,86.0,,,,,,,,1,1,47.0
Humaitá,2009,803231,715585,6246861,28326901,15571,505918,700479,34.0,9124.0,,,,,,,1,0,125.0
Barcelos,2009,5775191,6927054,36881823,86872091,3324,34972,358027,51.0,14211.0,,4285.0,6708.0,,,,1,0,15.0
Juruá,2009,759457,134203,6943621,13910766,1962,26357,8731,,,,,,,,,1,0,27.0
Pauini,2009,262552,62926,1892545,44661014,2862,95076,3253,249.0,137.0,,,,,,,1,1,20.0
Presidente Figueiredo,2009,3056177,113210,1050319,23791236,6633,268894,36793,6.0,98.0,53965.0,73.0,,47367.0,,,1,1,122.0
Ipixuna,2009,134403,16494,2122672,11236424,4147,135771,262,,11.0,,,,,,,1,0,39.0
Rio Preto da Eva,2009,17385,6146,169821,6146239,3264,165428,3088,2.0,,216.0,,,,,,1,0,69.0
